engine.type,engine.name,url,proposed.mission,status,thrust (kN),Isp.vacuum (s),mass.unfueled (kg),mass.fueled (kg),shielding,nuclear.fuel,other.fuel,power.consumption (kW),restarts,cost,development.time
electric,Aerojet 50kW,http://www.astronautix.com/a/aerojet50kw.html,,abandoned,,,,,,,,50,,,
electric,BPT-2000,http://www.astronautix.com/b/bpt-2000.html,,active production,0.00012,1765,5.2,,,NA,xenon,2.2,6000,,
electric,BPT-4000,http://www.astronautix.com/b/bpt-4000.html,,active production,0.00027,1950,7.5,,,NA,xenon,4.5,6000,,
electric array,BPT-600k,http://www.astronautix.com/b/bpt-600k.html,,development,0.03,1800,,,,NA,xenon,600,,,
electric,D-100-II,http://www.astronautix.com/d/d-100-ii.html,,concept,0.000065,1600,,,,NA,xenon,15,,,
electric,D-20,http://www.astronautix.com/d/d-20.html,,development,0.0000015,1400,,,,NA,xenon,0.4,,,
electric,D50,http://www.astronautix.com/d/d50.html,,development,0.000048,1700,,,,NA,xenon,0.8,,,
electric-powered stage,11B97 ERTA stage,http://www.astronautix.com/e/ertastage.html,,concept,0.00539,3000,12000,21000,,NA,xenon,150,,,
electric,Rocketdyne Hall Electric Thruster,http://www.astronautix.com/h/hallelectricthruster.html,,concept,0.003,1600,,,,NA,xenon,,,,
electric,HIVHAC,http://www.astronautix.com/h/hivhac.html,,concept,0.00043,2200,,,,NA,xenon,8,,,
electric-powered stage,11B97 tug stage,http://www.astronautix.com/i/interorbitaltugstage.html,,concept,0.025,3000,15700,65700,,NA,xenon,,,,
electric-powered stage,Mars 1986 spacecraft,http://www.astronautix.com/m/mars1986.html,,concept,0.441,4000,,365000,,NA,xenon,15000,,,
electric-powered stage,Mars 1989 spacecraft,http://www.astronautix.com/m/mars1989.html,,concept,0.441,4000,,355000,,NA,xenon,15000,,,
electric-powered stage,MEK spacecraft,http://www.astronautix.com/m/mek.html,,concept,0.061,8000,,150000,,NA,xenon,15000,,,
electric,NEXT,http://www.astronautix.com/n/next.html,,production ready,0.00024,4100,,,,NA,xenon,6.9,,,
electric,NSTAR,http://www.astronautix.com/n/nstar.html,,production ready,0.000092,3100,49.4,131.4,,NA,xenon,2.3,,,
electric,P5 Hall thruster,http://www.astronautix.com/p/p5hallthruster.html,,production ready,0.00025,2326,,,,NA,xenon,5,,,
electric,P78-2,http://www.astronautix.com/p/p78-2.html,,production ready,0.0000001,350,,,,NA,xenon,0.045,,,
